time,ax,ay,az,aT
2.281,-0.0191,-0.0691,0.003,0.072
2.286,0.0166,-0.0564,-0.0255,0.064
2.291,0.0192,-0.0652,-0.023,0.072
2.295,0.0123,-0.0694,-0.0109,0.071
2.301,0.0031,-0.0666,-0.0322,0.074
2.305,0.008,-0.0592,-0.0461,0.075
2.311,0.0225,-0.04,-0.0149,0.048
2.315,0.0251,-0.0208,0.009,0.034
2.32,0.0278,-0.016,0.0208,0.038
2.327,0.0234,-0.023,0.0182,0.038
2.33,0.0166,-0.0228,0.0038,0.028
2.336,0.0122,-0.025,0.0038,0.028
2.34,-0.0016,-0.0224,0.0013,0.023
2.345,-0.0082,-0.0081,-0.02,0.023
2.355,0.0018,-0.0081,-0.0222,0.024
2.359,0.0024,-0.0032,-0.0007,0.004
2.364,0.0076,0.0018,0.0064,0.01
2.37,0.0034,0.0139,-0.0008,0.014
2.374,-0.0102,0.0117,-0.0174,0.023
2.379,-0.0215,0.0095,-0.0339,0.041
2.385,-0.0044,0.012,-0.0337,0.036
2.389,0.0576,0.0145,-0.0049,0.06
2.396,0.1219,0.0195,0.0331,0.128
2.399,0.113,0.0318,0.0518,0.128
2.404,0.0572,0.0323,0.1011,0.121
2.412,-0.0057,0.0281,0.105,0.109
2.414,-0.1186,0.0503,-0.017,0.13
2.419,-0.1957,0.0702,-0.138,0.25
2.424,-0.168,0.0277,-0.1061,0.201
2.43,-0.0672,-0.0104,0.0563,0.088
2.433,0.0112,0.0112,0.1104,0.112
2.439,0.0278,0.0378,0.0264,0.054
2.444,0.0236,0.0429,0.0214,0.053
2.448,0.0288,0.0262,0.0496,0.063
2.454,0.0357,0.0285,-0.0196,0.05
2.458,0.0069,0.0382,-0.0788,0.088
2.469,-0.0091,0.0384,-0.0473,0.062
2.473,0.0104,0.0264,0.0053,0.029
2.478,-0.0012,0.0237,-0.0233,0.033
2.483,-0.0032,0.0064,-0.0254,0.026
2.489,-0.0098,0.0009,-0.0252,0.027
2.496,-0.0119,0.0217,-0.0392,0.046
2.497,-0.0066,0.0451,-0.0318,0.056
2.503,-0.0038,0.0541,0.0207,0.058
2.507,-0.0104,0.0535,0.049,0.073
2.513,-0.0147,0.0458,0.0201,0.052
2.518,-0.0071,0.0429,-0.0061,0.044
2.522,-0.0019,0.0399,-0.0156,0.043
2.527,0.008,0.044,-0.0131,0.047
2.532,0.0131,0.0578,-0.0035,0.059
2.539,0.004,0.0669,0.0084,0.068
2.542,-0.005,0.0691,0.0297,0.075
2.547,-0.0045,0.0785,0.0365,0.087
2.552,-0.0112,0.0783,0.0267,0.083
2.557,-0.0201,0.0782,0.0075,0.081
2.562,-0.0171,0.085,-0.0092,0.087
2.568,0,0.0941,-0.0139,0.095
2.572,0.0077,0.1079,-0.0091,0.109
2.582,0.0035,0.1074,-0.0114,0.108
2.587,-0.0054,0.1212,-0.0066,0.122
2.592,0.0025,0.1182,-0.0137,0.119
2.597,0.0009,0.1104,-0.0065,0.111
2.601,0.0065,0.1119,-0.0136,0.113
2.607,0.0193,0.1205,-0.0253,0.125
2.613,0.0225,0.1217,-0.0275,0.127
2.617,0.0164,0.1229,-0.0107,0.124
2.622,0.008,0.1454,-0.0011,0.146
2.627,0.002,0.1795,-0.0058,0.18
2.631,-0.011,0.2014,-0.001,0.202
