time,ax,ay,az,aT
1.406000,0.0265,0.1164,-0.0303,0.123
1.411000,0.0072,0.0798,0.0008,0.080
1.415000,-0.0168,0.0909,-0.0063,0.093
1.425000,-0.0096,0.0780,-0.0205,0.081
1.426000,-0.0097,0.0724,-0.0061,0.073
1.430000,-0.0146,0.0740,-0.0060,0.076
1.449000,-0.0219,0.0659,0.0035,0.070
1.451000,-0.0149,0.0533,0.0035,0.055
1.451000,0.0016,0.0384,-0.0013,0.038
1.452000,0.0038,0.0332,0.0059,0.034
1.457000,0.0058,0.0399,0.0177,0.044
1.460000,0.0126,0.0418,0.0080,0.044
1.465000,0.0028,0.0294,-0.0015,0.030
1.469000,-0.0117,0.0244,0.0104,0.029
1.475000,-0.0000,0.0242,0.0127,0.027
1.480000,0.0045,0.0146,0.0125,0.020
1.485000,-0.0052,0.0076,-0.0018,0.009
1.489000,-0.0053,0.0029,-0.0018,0.006
1.494000,0.0017,-0.0064,0.0124,0.014
1.499000,0.0085,-0.0038,0.0005,0.009
1.510000,0.0106,-0.0060,-0.0114,0.017
1.511000,0.0080,-0.0201,-0.0137,0.026
1.514000,0.0030,-0.0246,-0.0160,0.029
1.534000,0.0004,-0.0267,-0.0087,0.028
1.536000,0.0049,-0.0264,-0.0134,0.030
1.538000,-0.0025,-0.0261,-0.0157,0.031
1.538000,-0.0052,-0.0282,-0.0061,0.029
1.539000,-0.0030,-0.0304,-0.0060,0.031
1.544000,-0.0032,-0.0279,-0.0154,0.032
1.548000,-0.0153,-0.0231,-0.0129,0.031
1.557000,-0.0060,-0.0207,-0.0033,0.022
1.559000,0.0199,-0.0183,-0.0033,0.027
1.563000,0.0196,-0.0278,-0.0033,0.034
1.570000,0.0075,-0.0419,0.0062,0.043
1.574000,0.0051,-0.0487,0.0204,0.053
1.578000,0.0073,-0.0508,0.0155,0.054
1.583000,0.0118,-0.0599,0.0130,0.062
1.589000,0.0045,-0.0833,0.0105,0.084
1.593000,-0.0027,-0.0827,0.0105,0.083
1.598000,0.0114,-0.0773,0.0175,0.080
1.612000,0.0160,-0.0862,0.0150,0.089
1.613000,0.0111,-0.0878,0.0172,0.090
1.613000,0.0157,-0.0965,0.0147,0.099
1.618000,0.0108,-0.1004,0.0075,0.101
1.632000,0.0060,-0.0947,0.0050,0.095
1.634000,0.0130,-0.0962,0.0073,0.097
1.634000,0.0105,-0.0953,0.0073,0.096
1.641000,0.0008,-0.0991,0.0096,0.100
1.642000,0.0032,-0.1030,0.0071,0.103
1.647000,0.0126,-0.0902,-0.0024,0.091
1.654000,0.0149,-0.0822,-0.0000,0.084
1.658000,0.0077,-0.0815,0.0071,0.082
1.662000,0.0077,-0.0761,0.0047,0.077
1.667000,0.0076,-0.0850,0.0022,0.085
1.672000,-0.0019,-0.0819,0.0022,0.082
1.677000,0.0005,-0.0647,0.0022,0.065
1.682000,0.0053,-0.0548,0.0022,0.055
1.688000,0.0052,-0.0521,0.0022,0.052
1.692000,0.0076,-0.0471,0.0045,0.048
1.697000,0.0027,-0.0350,0.0093,0.036
1.713000,0.0004,-0.0206,0.0021,0.021
1.714000,-0.0020,-0.0016,-0.0098,0.010
1.714000,-0.0091,0.0125,-0.0145,0.021
1.717000,-0.0113,0.0241,-0.0072,0.028
1.734000,-0.0017,0.0357,0.0047,0.036
1.736000,0.0008,0.0448,0.0023,0.045
1.736000,-0.0064,0.0467,-0.0072,0.048
1.738000,0.0008,0.0393,0.0023,0.039
1.741000,0.0103,0.0271,0.0071,0.030
1.745000,0.0078,0.0174,0.0094,0.021
1.750000,0.0030,0.0031,0.0069,0.008
1.758000,0.0054,-0.0040,0.0069,0.010
1.761000,0.0006,-0.0109,0.0021,0.011
1.766000,-0.0017,-0.0274,-0.0027,0.028
1.772000,-0.0017,-0.0248,0.0044,0.025
1.777000,-0.0016,-0.0174,-0.0051,0.018
1.780000,-0.0016,-0.0172,-0.0169,0.024
1.788000,0.0008,-0.0076,-0.0168,0.018
1.790000,0.0031,0.0020,0.0023,0.004
1.795000,0.0007,0.0067,0.0047,0.008
1.800000,0.0032,0.0090,-0.0072,0.012
1.811000,0.0032,0.0136,-0.0024,0.014
1.812000,-0.0040,0.0133,0.0047,0.015
1.815000,-0.0064,0.0037,0.0071,0.010
1.837000,-0.0016,0.0012,-0.0001,0.002
1.839000,0.0008,-0.0013,-0.0025,0.003
1.839000,0.0031,0.0200,-0.0001,0.020
1.839000,0.0008,0.0434,-0.0001,0.043
1.840000,-0.0016,0.0357,0.0023,0.036
1.844000,0.0080,0.0116,0.0023,0.014
1.849000,0.0152,-0.0052,0.0023,0.016
1.856000,0.0079,-0.0171,-0.0001,0.019
1.859000,0.0055,-0.0218,0.0070,0.024
1.864000,0.0078,-0.0192,0.0093,0.023
1.872000,0.0030,-0.0191,0.0021,0.019
1.874000,-0.0042,-0.0071,0.0021,0.008
1.880000,0.0005,0.0001,-0.0050,0.005
1.884000,0.0077,-0.0141,-0.0097,0.019
1.889000,0.0124,-0.0139,-0.0001,0.019
1.894000,0.0077,-0.0019,0.0046,0.009
1.899000,0.0005,0.0078,0.0046,0.009
1.913000,-0.0018,0.0196,-0.0050,0.020
1.914000,-0.0042,0.0242,-0.0049,0.025
1.914000,-0.0065,0.0216,-0.0025,0.023
1.944000,-0.0017,0.0214,-0.0049,0.022
1.945000,0.0078,0.0093,-0.0096,0.015
