time,ax,ay,az,aT
1.203000,-0.0048,-0.0317,0.0052,0.032
1.233000,-0.0048,-0.0195,0.0076,0.021
1.234000,-0.0025,-0.0098,0.0004,0.010
1.234000,-0.0026,-0.0122,-0.0020,0.013
1.235000,-0.0122,-0.0050,0.0028,0.013
1.235000,-0.0097,0.0022,0.0004,0.010
1.235000,-0.0001,-0.0003,0.0004,0.000
1.238000,0.0094,-0.0027,0.0004,0.010
1.243000,0.0188,0.0068,-0.0020,0.020
1.248000,0.0068,0.0067,-0.0138,0.017
1.253000,0.0022,0.0137,-0.0090,0.017
1.258000,0.0046,0.0279,0.0030,0.028
1.266000,-0.0071,0.0158,0.0029,0.018
1.268000,-0.0188,0.0015,-0.0018,0.019
1.273000,-0.0186,-0.0104,-0.0066,0.022
1.279000,-0.0162,-0.0127,-0.0089,0.022
1.283000,-0.0043,-0.0055,-0.0064,0.010
1.288000,0.0100,-0.0056,-0.0016,0.012
1.306000,0.0217,-0.0056,0.0055,0.023
1.306000,0.0286,-0.0008,0.0055,0.029
1.307000,0.0166,0.0134,-0.0041,0.022
1.308000,0.0047,0.0300,-0.0041,0.031
1.314000,-0.0049,0.0298,-0.0040,0.030
1.317000,-0.0142,0.0177,0.0103,0.025
1.322000,-0.0188,0.0106,0.0078,0.023
1.327000,-0.0044,0.0176,-0.0041,0.019
1.332000,-0.0069,0.0483,0.0006,0.049
1.337000,-0.0213,0.0717,-0.0207,0.078
1.344000,-0.0142,0.0735,-0.0229,0.078
1.347000,0.0072,0.0468,0.0129,0.049
1.352000,0.0191,0.0180,0.0080,0.027
1.357000,0.0119,-0.0034,-0.0134,0.018
1.363000,0.0072,-0.0389,-0.0062,0.040
1.368000,0.0048,-0.0575,-0.0062,0.058
1.372000,0.0023,-0.0689,-0.0132,0.070
1.380000,0.0047,-0.0898,0.0011,0.090
1.382000,0.0094,-0.1105,0.0154,0.112
1.386000,0.0119,-0.1073,0.0105,0.108
1.402000,0.0095,-0.0757,0.0033,0.076
1.403000,-0.0000,-0.0184,-0.0062,0.019
1.403000,-0.0094,0.0409,-0.0133,0.044
1.406000,-0.0069,0.0665,-0.0132,0.068
1.412000,-0.0161,0.0611,-0.0059,0.063
1.417000,-0.0277,0.0249,-0.0011,0.037
1.421000,-0.0250,-0.0062,0.0036,0.026
1.427000,-0.0128,-0.0158,-0.0012,0.020
1.431000,-0.0152,-0.0110,-0.0106,0.022
1.436000,-0.0153,0.0032,-0.0034,0.016
1.441000,0.0085,0.0221,-0.0010,0.024
1.446000,0.0202,0.0362,0.0061,0.042
1.451000,0.0131,0.0407,0.0132,0.045
1.456000,0.0203,0.0687,0.0321,0.078
1.460000,0.0225,0.1132,0.0081,0.116
1.465000,0.0010,0.1336,-0.0300,0.137
1.471000,-0.0106,0.1373,-0.0084,0.138
1.475000,-0.0056,0.1290,0.0012,0.129
1.480000,-0.0007,0.1042,-0.0059,0.104
1.485000,0.0017,0.0724,-0.0106,0.073
1.490000,-0.0006,0.0502,-0.0010,0.050
1.495000,0.0042,0.0472,0.0108,0.049
1.500000,0.0091,0.0300,0.0060,0.032
1.505000,0.0092,0.0058,-0.0012,0.011
1.520000,0.0141,0.0032,-0.0130,0.019
1.521000,0.0070,-0.0113,-0.0153,0.020
1.521000,-0.0072,-0.0257,-0.0033,0.027
1.524000,-0.0189,-0.0210,0.0015,0.028
1.529000,-0.0259,-0.0212,0.0039,0.034
1.534000,-0.0139,-0.0142,0.0062,0.021
1.539000,0.0029,-0.0073,0.0015,0.008
1.543000,-0.0115,-0.0097,-0.0175,0.023
1.549000,0.0216,-0.0263,-0.0720,0.080
1.554000,0.0240,-0.0596,0.0236,0.068
1.558000,-0.0116,-0.0736,0.0804,0.110
1.564000,0.0122,-0.0565,-0.0010,0.058
1.571000,0.0170,-0.0442,0.0203,0.052
1.574000,-0.0043,-0.0628,0.0249,0.068
1.581000,-0.0112,-0.0718,0.0010,0.073
1.587000,0.0032,-0.0499,0.0105,0.051
1.589000,0.0103,-0.0329,0.0104,0.036
1.612000,0.0031,-0.0278,-0.0016,0.028
1.613000,0.0009,-0.0251,0.0103,0.027
1.613000,-0.0013,-0.0153,0.0150,0.021
1.613000,-0.0155,-0.0104,-0.0137,0.023
1.613000,-0.0295,0.0017,-0.0183,0.035
1.619000,-0.0175,0.0111,-0.0039,0.021
1.623000,-0.0032,0.0204,-0.0039,0.021
1.628000,-0.0010,0.0296,-0.0062,0.030
1.633000,0.0085,0.0269,0.0081,0.029
1.638000,0.0085,0.0290,0.0152,0.034
1.643000,0.0062,0.0358,-0.0040,0.037
1.648000,0.0063,0.0330,-0.0039,0.034
1.653000,-0.0055,0.0326,0.0056,0.034
1.658000,-0.0150,0.0369,0.0056,0.040
1.663000,-0.0054,0.0436,-0.0040,0.044
1.669000,-0.0029,0.0407,-0.0039,0.041
1.673000,-0.0003,0.0403,-0.0015,0.040
1.680000,-0.0003,0.0470,-0.0015,0.047
1.683000,0.0093,0.0489,0.0009,0.050
1.688000,0.0213,0.0507,0.0104,0.056
1.699000,0.0214,0.0501,0.0150,0.057
1.700000,0.0192,0.0448,-0.0041,0.049
1.703000,0.0099,0.0371,-0.0135,0.041
1.708000,-0.0017,0.0271,-0.0087,0.028
1.713000,-0.0038,0.0220,-0.0133,0.026
1.717000,-0.0107,0.0169,-0.0156,0.025
1.723000,-0.0033,0.0141,0.0035,0.015
1.727000,0.0160,0.0089,0.0130,0.022
1.732000,0.0209,0.0037,0.0034,0.021
1.737000,0.0116,0.0057,-0.0037,0.013
1.742000,0.0073,-0.0019,-0.0037,0.008
1.747000,0.0004,-0.0116,-0.0060,0.013
1.752000,-0.0088,-0.0283,-0.0155,0.033
1.757000,-0.0062,-0.0663,-0.0058,0.067
1.762000,-0.0131,-0.0921,0.0108,0.094
1.768000,-0.0105,-0.0916,0.0013,0.092
1.772000,0.0112,-0.0935,-0.0035,0.094
1.780000,0.0280,-0.1049,0.0132,0.109
1.782000,0.0328,-0.1162,0.0178,0.122
1.786000,0.0376,-0.1274,0.0200,0.134
1.791000,0.0354,-0.1337,0.0223,0.140
1.798000,0.0238,-0.1303,0.0149,0.133
1.801000,0.0053,-0.1436,0.0124,0.144
1.806000,0.0010,-0.1473,0.0028,0.147
1.810000,0.0062,-0.1510,-0.0043,0.151
1.816000,-0.0006,-0.1476,0.0052,0.148
1.821000,-0.0001,-0.1183,0.0123,0.119
1.827000,0.0170,-0.0703,0.0122,0.073
1.831000,0.0174,-0.0203,-0.0021,0.027
1.836000,0.0155,0.0150,-0.0044,0.022
1.841000,0.0280,0.0310,0.0122,0.044
1.846000,0.0381,0.0374,0.0145,0.055
1.851000,0.0292,0.0367,0.0025,0.047
1.855000,-0.0080,0.0266,-0.0070,0.029
1.861000,-0.0473,0.0118,-0.0141,0.051
1.865000,-0.0654,-0.0005,-0.0211,0.069
1.870000,-0.0669,-0.0081,-0.0327,0.075
1.875000,-0.0639,-0.0156,-0.0206,0.069
1.879000,-0.0539,-0.0207,-0.0085,0.058
1.885000,-0.0416,-0.0139,-0.0013,0.044
1.890000,-0.0104,0.0046,0.0058,0.013
1.897000,0.0230,0.0232,0.0058,0.033
1.899000,0.0421,0.0274,0.0248,0.056
1.904000,0.0327,0.0293,0.0198,0.048
1.929000,0.0092,0.0219,-0.0017,0.024
1.930000,-0.0166,0.0193,0.0007,0.025
1.931000,-0.0329,0.0215,-0.0160,0.042
1.931000,-0.0326,0.0261,-0.0182,0.046
1.931000,-0.0278,0.0379,-0.0109,0.048
1.934000,-0.0205,0.0377,-0.0061,0.043
1.939000,-0.0157,0.0282,0.0058,0.033
1.947000,-0.0062,0.0163,0.0010,0.017
1.949000,0.0081,-0.0098,-0.0037,0.013
1.953000,0.0199,-0.0428,0.0058,0.048
